Date,USD_Value
9/30/1986,105.3153
8/31/1986,105.2143
7/31/1986,105.7445
6/30/1986,108.8562
5/31/1986,113.0405
4/30/1986,108.4014
3/31/1986,114.0194
2/28/1986,113.6627
1/31/1986,118.5119
12/31/1985,120.1155
11/30/1985,120.5484
10/31/1985,123.5172
9/30/1985,125.6024
8/31/1985,130.9901
7/31/1985,129.8125
6/30/1985,136.0706
5/31/1985,137.637
4/30/1985,138.5926
3/31/1985,138.0416
2/28/1985,145.1828
1/31/1985,139.0623
12/31/1984,137.7794
11/30/1984,136.0704
10/31/1984,134.3486
